description,repo,time,type,users
opened,hupili/datavis.studio,2019-03-07T05:14:34Z,IssuesEvent,hupili
opened,hupili/python-for-data-and-media-communication-gitbook,2019-03-06T07:16:19Z,IssuesEvent,hupili
,hupili/datavis.studio,2019-03-04T08:16:21Z,MemberEvent,hupili
,hupili/datavis.studio,2019-03-04T08:14:10Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-03-04T08:09:30Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-03-04T08:08:14Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-03-04T08:04:02Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-03-04T07:34:18Z,IssueCommentEvent,hupili
,YuichiNukiyama/vscode-preview-server,2019-03-03T07:55:10Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-03T02:03:53Z,PushEvent,hupili
,hupili/datavis.studio,2019-03-03T01:54:09Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-03T01:48:22Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-02T01:31:44Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-01T13:05:48Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-01T13:01:59Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-01T12:50:48Z,PushEvent,hupili
opened,hupili/datavis.studio,2019-02-28T04:46:47Z,IssuesEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-28T04:43:43Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-27T08:20:48Z,PushEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-02-27T02:31:48Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-02-27T02:23:50Z,IssueCommentEvent,hupili
opened,hupili/datavis.studio,2019-02-27T02:22:58Z,IssuesEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-02-26T09:59:42Z,IssueCommentEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-02-26T06:26:29Z,IssueCommentEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-02-26T06:17:47Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-25T04:23:48Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-25T04:21:38Z,PushEvent,hupili
https://api.github.com/repos/joeyespo/grip,joeyespo/grip,2019-02-25T03:48:48Z,WatchEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-25T03:44:04Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-23T10:20:00Z,PushEvent,hupili
,hupili/datavis.studio,2019-02-23T10:19:59Z,PullRequestEvent,hupili
https://api.github.com/repos/hupili/workshop-data-literacy-excel-experiments-101,hupili/workshop-data-literacy-excel-experiments-101,2019-02-22T09:30:16Z,CreateEvent,hupili
https://api.github.com/repos/hupili/workshop-data-literacy-excel-experiments-101,hupili/workshop-data-literacy-excel-experiments-101,2019-02-22T09:27:30Z,CreateEvent,hupili
,JoYoungjoo/SC-FEGAN,2019-02-22T08:54:13Z,ForkEvent,hupili
https://api.github.com/repos/pyenv/pyenv,pyenv/pyenv,2019-02-22T07:47:31Z,WatchEvent,hupili
https://api.github.com/repos/JoYoungjoo/SC-FEGAN,JoYoungjoo/SC-FEGAN,2019-02-22T06:41:42Z,WatchEvent,hupili
,hupili/datavis.studio,2019-02-22T03:16:25Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-22T03:14:44Z,PushEvent,hupili
,hupili/datavis.studio,2019-02-22T03:14:43Z,PullRequestEvent,hupili
,hupili/datavis.studio,2019-02-21T03:33:44Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-02-21T03:30:27Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-02-18T03:13:44Z,PushEvent,hupili
https://api.github.com/repos/tomrunia/TF_FeatureExtraction,tomrunia/TF_FeatureExtraction,2019-02-17T10:39:23Z,WatchEvent,hupili
https://api.github.com/repos/tensorflow/models,tensorflow/models,2019-02-17T10:18:42Z,WatchEvent,hupili
https://api.github.com/repos/facundoolano/app-store-scraper,facundoolano/app-store-scraper,2019-02-16T02:01:38Z,WatchEvent,hupili
,hupili/datavis.studio,2019-02-15T14:13:41Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-02-15T14:12:59Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-02-15T14:10:00Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-15T07:39:16Z,PushEvent,hupili
,hupili/datavis.studio,2019-02-15T07:39:15Z,PullRequestEvent,hupili
,hupili/datavis.studio,2019-02-14T09:56:35Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-02-14T00:36:53Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-02-14T00:29:26Z,IssueCommentEvent,hupili
https://api.github.com/repos/FeeiCN/GSIL,FeeiCN/GSIL,2019-02-13T16:01:34Z,WatchEvent,hupili
opened,hupili/datavis.studio,2019-02-12T11:52:24Z,IssuesEvent,hupili
opened,hupili/datavis.studio,2019-02-12T04:24:33Z,IssuesEvent,hupili
opened,YuichiNukiyama/vscode-preview-server,2019-02-12T04:23:19Z,IssuesEvent,hupili
https://api.github.com/repos/BrowserSync/browser-sync,BrowserSync/browser-sync,2019-02-12T04:15:19Z,WatchEvent,hupili
https://api.github.com/repos/xlzd/img2html,xlzd/img2html,2019-02-11T12:54:48Z,WatchEvent,hupili
,hupili/datavis.studio,2019-02-08T12:31:27Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-08T12:31:07Z,PushEvent,hupili
,hupili/datavis.studio,2019-02-08T12:31:06Z,PullRequestEvent,hupili
,hupili/datavis.studio,2019-02-08T12:30:58Z,PullRequestEvent,hupili
https://api.github.com/repos/hupili/utility,hupili/utility,2019-02-05T03:56:47Z,PushEvent,hupili
https://api.github.com/repos/hupili/utility,hupili/utility,2019-02-03T02:26:52Z,PushEvent,hupili
https://api.github.com/repos/hupili/utility,hupili/utility,2019-02-03T02:23:28Z,PushEvent,hupili
https://api.github.com/repos/ElementsProject/libwally-core,ElementsProject/libwally-core,2019-02-01T14:47:34Z,WatchEvent,hupili
https://api.github.com/repos/google/or-tools,google/or-tools,2019-02-01T09:14:10Z,WatchEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-01T06:41:03Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-01T03:48:36Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-01T03:40:18Z,PushEvent,hupili
,CheungYanYi/jour2106,2019-02-01T02:29:03Z,ForkEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-02-01T01:53:51Z,WatchEvent,hupili
,Felicity2724/JOUR2106,2019-01-30T03:54:32Z,ForkEvent,hupili
https://api.github.com/repos/hupili/big-road,hupili/big-road,2019-01-26T12:55:25Z,PushEvent,hupili
https://api.github.com/repos/hupili/big-road,hupili/big-road,2019-01-25T14:26:14Z,CreateEvent,hupili
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-17T15:41:21Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-17T13:24:20Z,CreateEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-11T03:06:12Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/Felicity2724.github.io,Felicity2724/Felicity2724.github.io,2019-04-06T05:35:33Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/Felicity2724.github.io,Felicity2724/Felicity2724.github.io,2019-04-06T02:47:51Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-06T02:40:33Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/Felicity2724.github.io,Felicity2724/Felicity2724.github.io,2019-04-05T03:10:29Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/Felicity2724.github.io,Felicity2724/Felicity2724.github.io,2019-04-04T03:32:34Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/Felicity2724.github.io,Felicity2724/Felicity2724.github.io,2019-04-03T04:34:50Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T12:51:07Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T11:26:09Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T11:15:01Z,PushEvent,Felicity2724
,Felicity2724/JOUR2106-homework,2019-04-02T11:12:05Z,MemberEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T10:59:23Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T09:44:58Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T09:30:14Z,PushEvent,Felicity2724
https://api.github.com/repos/Felicity2724/JOUR2106-homework,Felicity2724/JOUR2106-homework,2019-04-02T09:06:13Z,PushEvent,Felicity2724
,Felicity2724/JOUR2106-homework,2019-04-02T08:59:50Z,MemberEvent,Felicity2724
,Felicity2724/JOUR2106-homework,2019-04-02T08:59:01Z,MemberEvent,Felicity2724
